wavelength;unc;wavenumber;Int;DQ;D;J;Jn;decaywidth;lowerlevel;upperlevel;;
Wavelengths;Unc.;sigma;Int;D;D;J;J';Decay width;Lower Level;Upper Level;;
710.321;0.035;140781;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?11d ?1? ?1/2,3/2 , ?2? ?3/2;;
711.553;0.015;140538;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?12s ?1? ?3/2;;
712.536;0.035;140344;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?10d ?1? ?1/2,3/2 , ?2? ?3/2;;
714.669;0.015;139925;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?11s ?1? ?3/2;;
715.921;0.035;139680;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?9d ?1? ?1/2,3/2 , ?2? ?3/2;;
716.506;0.015;139566;;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?7s ?1? ?3/2;;
719.308;0.015;139022;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?10s ?1? ?3/2;;
720.853;0.015;138725;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?7s ?0? ?1/2;;
721.802;0.035;138542;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?8d ?1? ?1/2,3/2 , ?2? ?3/2;;
722.113;0.035;138482;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?21d ?0? ?1/2 , ?1? ?1/2,3/2 ,;;
722.297;0.035;138447;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?20d ?0? ?1/2 , ?1? ?1/2,3/2 ,;;
722.481;0.015;138412;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?21s ?2? ?3/2;;
722.542;0.035;138400;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?19d ?0? ?1/2 , ?1? ?1/2,3/2 ,;;
722.738;0.015;138363;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?20s ?2? ?3/2;;
722.855;0.035;138340;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?18d ?0? ?1/2 , ?1? ?1/2,3/2 ,;;
723.033;0.015;138306;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?19s ?2? ?3/2;;
